,,Total Verses,OT 1,vss,OT 2,vss,NT,vss,Psalms,vss,Proverbs,vss
196,7/14/2016,91,Deuteronomy 15:1-16:17,40,Isaiah 51:1-23,23,Acts 13:26-52,27,,,Proverbs 20:22,1
197,7/15/2016,86,Deuteronomy 16:18-17:20,25,Isaiah 52:1-53:12,27,Acts 14:1-28,28,Psalm 93:1-5,5,Proverbs 20:23,1
198,7/16/2016,75,Deuteronomy 18:1-19:14,36,Isaiah 54:1-17,17,Acts 15:1-21,21,,,Proverbs 20:24,1
199,7/17/2016,90,Deuteronomy 19:15-20:20,27,Isaiah 55:1-56:12,25,Acts 15:22-35,14,Psalm 94:1-23,23,Proverbs 20:25,1
200,7/18/2016,81,Deuteronomy 21:1-22:30,53,Isaiah 57:1-21,21,Acts 15:36-41,6,,,Proverbs 20:26,1
201,7/19/2016,77,Deuteronomy 23:1-24:22,47,Isaiah 58:1-14,14,Acts 16:1-15,15,,,Proverbs 20:27,1
202,7/20/2016,77,Deuteronomy 25:1-19,19,Isaiah 59:1-21,21,Acts 16:16-40,25,Psalm 95:1-11,11,Proverbs 20:28,1
203,7/21/2016,89,Deuteronomy 26:1-19,19,Isaiah 60:1-22,22,Acts 17:1-34,34,Psalm 96:1-13,13,Proverbs 20:29,1
204,7/22/2016,69,Deuteronomy 27:1-28:14,40,Isaiah 61:1-11,11,Acts 18:1-17,17,,,Proverbs 20:30,1
205,7/23/2016,78,Deuteronomy 28:15-68,54,Isaiah 62:1-12,12,Acts 18:18-28,11,,,Proverbs 21:1,1
206,7/24/2016,81,Deuteronomy 29:1-29,29,Isaiah 63:1-19,19,Acts 19:1-20,20,Psalm 97:1-12,12,Proverbs 21:2,1
207,7/25/2016,63,Deuteronomy 30:1-20,20,Isaiah 64:1-12,12,Acts 19:21-41,21,Psalm 98:1-9,9,Proverbs 21:3,1
208,7/26/2016,93,Deuteronomy 31:1-29,29,Isaiah 65:1-25,25,Acts 20:1-38,38,,,Proverbs 21:4,1
209,7/27/2016,93,Deuteronomy 31:30-32:52,52,Isaiah 66:1-24,24,Acts 21:1-16,16,,,Proverbs 21:5,1
210,7/28/2016,59,Deuteronomy 33:1-29,29,,,Acts 21:17-36,20,Psalm 99:1-9,9,Proverbs 21:6,1
211,7/29/2016,69,Deuteronomy 34:1-12,12,Nahum 1:1-15,15,Acts 21:37-23:11,36,Psalm 100:1-5,5,Proverbs 21:7,1
212,7/30/2016,77,Joshua 1:1-18,18,Nahum 2:1-13,13,Acts 23:12-24:21,45,,,Proverbs 21:8,1
213,7/31/2016,86,Joshua 2:1-24,24,Nahum 3:1-19,19,Acts 24:22-25:27,34,Psalm 101:1-8,8,Proverbs 21:9,1
214,8/1/2016,51,Joshua 3:1-17,17,,,Acts 26:1-11,11,Psalm 102:1-22,22,Proverbs 21:10,1
215,8/2/2016,85,Joshua 4:1-5:15,39,Zephaniah 1:1-18,18,Acts 26:12-32,21,Psalm 102:23-28,6,Proverbs 21:11,1
216,8/3/2016,77,Joshua 6:1-27,27,Zephaniah 2:1-15,15,Acts 27:1-12,12,Psalm 103:1-22,22,Proverbs 21:12,1
217,8/4/2016,81,Joshua 7:1-26,26,Zephaniah 3:1-20,20,Acts 27:13-44,34,,,Proverbs 21:13,1
218,8/5/2016,67,Joshua 8:1-35,35,,,Acts 28:1-31,31,,,Proverbs 21:14,1
219,8/6/2016,80,Joshua 9:1-10:28,55,Habakkuk 1:1-17,17,Romans 1:1-7,7,,,Proverbs 21:15,1
220,8/7/2016,84,Joshua 10:29-11:23,38,Habakkuk 2:1-20,20,Romans 1:8-32,25,,,Proverbs 21:16,1
221,8/8/2016,75,Joshua 12:1-13:7,31,Habakkuk 3:1-19,19,Romans 2:1-11,11,Psalm 104:1-13,13,Proverbs 21:17,1
222,8/9/2016,55,Joshua 13:8-33,26,,,Romans 2:12-29,18,Psalm 104:14-23,10,Proverbs 21:18,1
223,8/10/2016,81,Joshua 14:1-15:19,34,Jeremiah 1:1-19,19,Romans 3:1-20,20,Psalm 104:24-30,7,Proverbs 21:19,1
224,8/11/2016,98,Joshua 15:20-63,44,Jeremiah 2:1-37,37,Romans 3:21-31,11,Psalm 104:31-35,5,Proverbs 21:20,1
225,8/12/2016,78,Joshua 16:1-17:17,27,Jeremiah 3:1-25,25,Romans 4:1-25,25,,,Proverbs 21:21,1
226,8/13/2016,87,Joshua 18:1-28,28,Jeremiah 4:1-31,31,Romans 5:1-21,21,Psalm 105:1-6,6,Proverbs 21:22,1
227,8/14/2016,95,Joshua 19:1-24,24,Jeremiah 5:1-31,31,Romans 6:1-23,23,Psalm 105:7-22,16,Proverbs 21:23,1
228,8/15/2016,97,Joshua 19:25-51,27,Jeremiah 6:1-30,30,Romans 7:1-25,25,Psalm 105:23-36,14,Proverbs 21:24,1
229,8/16/2016,92,Joshua 20:1-9,9,Jeremiah 7:1-34,34,Romans 8:1-39,39,Psalm 105:37-45,9,Proverbs 21:25,1
230,8/17/2016,73,Joshua 21:1-45,45,Jeremiah 8:1-22,22,Romans 9:1-5,5,,,Proverbs 21:26,1
231,8/18/2016,89,Joshua 22:1-34,34,Jeremiah 9:1-25,25,Romans 9:6-29,24,Psalm 106:1-5,5,Proverbs 21:27,1
232,8/19/2016,85,Joshua 23:1-16,16,Jeremiah 10:1-25,25,Romans 9:30-10:21,25,Psalm 106:6-23,18,Proverbs 21:28,1
233,8/20/2016,83,Joshua 24:1-33,33,Jeremiah 11:1-23,23,Romans 11:1-10,10,Psalm 106:24-39,16,Proverbs 21:29,1
234,8/21/2016,77,Judges 1:1-36,36,Jeremiah 12:1-17,17,Romans 11:11-24,14,Psalm 106:40-48,9,Proverbs 21:30,1
235,8/22/2016,95,Judges 2:1-3:11,34,Jeremiah 13:1-27,27,Romans 11:25-12:21,33,,,Proverbs 21:31,1
236,8/23/2016,89,Judges 3:12-31,20,Jeremiah 14:1-22,22,Romans 13:1-14:23,37,Psalm 107:1-9,9,Proverbs 22:1,1
237,8/24/2016,90,Judges 4:1-24,24,Jeremiah 15:1-21,21,Romans 15:1-21,21,Psalm 107:10-32,23,Proverbs 22:2,1
238,8/25/2016,76,Judges 5:1-31,31,Jeremiah 16:1-21,21,Romans 15:22-33,12,Psalm 107:33-43,11,Proverbs 22:3,1
239,8/26/2016,95,Judges 6:1-40,40,Jeremiah 17:1-27,27,Romans 16:1-27,27,,,Proverbs 22:4,1
240,8/27/2016,80,Judges 7:1-25,25,Jeremiah 18:1-23,23,1 Corinthians 1:1-31,31,,,Proverbs 22:5,1
241,8/28/2016,80,Judges 8:1-35,35,Jeremiah 19:1-15,15,1 Corinthians 2:1-16,16,Psalm 108:1-13,13,Proverbs 22:6,1
242,8/29/2016,83,Judges 9:1-41,41,Jeremiah 20:1-18,18,1 Corinthians 3:1-23,23,,,Proverbs 22:7,1
243,8/30/2016,83,Judges 9:42-57,16,Jeremiah 21:1-14,14,1 Corinthians 4:1-21,21,Psalm 109:1-31,31,Proverbs 22:8,1
244,8/31/2016,92,Judges 10:1-11:3,21,Jeremiah 22:1-30,30,1 Corinthians 5:1-6:20,33,Psalm 110:1-7,7,Proverbs 22:9,1
245,9/1/2016,86,Judges 11:4-40,37,Jeremiah 23:1-22,22,1 Corinthians 7:1-16,16,Psalm 111:1-10,10,Proverbs 22:10,1
246,9/2/2016,93,Judges 12:1-13:25,40,Jeremiah 23:23-24:10,28,1 Corinthians 7:17-40,24,,,Proverbs 22:11,1
247,9/3/2016,92,Judges 14:1-15:20,40,Jeremiah 25:1-38,38,1 Corinthians 8:1-13,13,,,Proverbs 22:12,1
248,9/4/2016,94,Judges 16:1-17:13,44,Jeremiah 26:1-24,24,1 Corinthians 9:1-26,26,,,,
249,9/5/2016,89,Judges 18:1-31,31,Jeremiah 27:1-22,22,1 Corinthians 10:1-11:1,34,,,Proverbs 22:13-14,2
250,9/6/2016,79,Judges 19:1-30,30,Jeremiah 28:1-17,17,1 Corinthians 11:2-16,15,Psalm 112:1-10,10,Proverbs 22:15-21,7
251,9/7/2016,98,Judges 20:1-48,48,Jeremiah 29:1-32,32,1 Corinthians 11:17-34,18,,,,
252,9/8/2016,89,Judges 21:1-25,25,Jeremiah 30:1-24,24,1 Corinthians 12:1-31,31,Psalm 113:1-9,9,,
253,9/9/2016,96,Ruth 1:1-2:23,45,Jeremiah 31:1-30,30,1 Corinthians 13:1-13,13,,,Proverbs 22:22-29,8
254,9/10/2016,86,Ruth 3:1-4:22,40,Jeremiah 31:31-32:15,25,1 Corinthians 14:1-5,5,Psalm 114:1-8,8,Proverbs 23:1-8,8
255,9/11/2016,98,1 Samuel 1:1-2:11,39,Jeremiah 32:16-44,29,1 Corinthians 14:6-25,20,,,Proverbs 23:9-18,10
256,9/12/2016,97,1 Samuel 2:12-3:21,46,Jeremiah 33:1-26,26,1 Corinthians 14:26-40,15,,,Proverbs 23:19-28,10
257,9/13/2016,92,1 Samuel 4:1-5:12,34,Jeremiah 34:1-22,22,1 Corinthians 15:1-11,11,Psalm 115:1-18,18,Proverbs 23:29-35,7
258,9/14/2016,87,1 Samuel 6:1-7:17,38,Jeremiah 35:1-19,19,1 Corinthians 15:12-34,23,,,Proverbs 24:1-7,7
259,9/15/2016,101,1 Samuel 8:1-9:27,49,Jeremiah 36:1-32,32,1 Corinthians 15:35-49,15,,,Proverbs 24:8-12,5
260,9/16/2016,81,1 Samuel 10:1-27,27,Jeremiah 37:1-21,21,1 Corinthians 15:50-16:11,20,Psalm 116:1-9,9,Proverbs 24:13-16,4
261,9/17/2016,93,1 Samuel 11:1-12:25,40,Jeremiah 38:1-28,28,1 Corinthians 16:12-24,13,Psalm 116:10-19,10,Proverbs 24:17-18,2
262,9/18/2016,78,1 Samuel 13:1-14:23,45,Jeremiah 39:1-18,18,2 Corinthians 1:1-11,11,Psalm 117:1-2,2,Proverbs 24:19-20,2
263,9/19/2016,77,1 Samuel 14:24-52,29,Jeremiah 40:1-16,16,2 Corinthians 1:12-24,13,Psalm 118:1-16,17,Proverbs 24:21-22,2
264,9/20/2016,86,1 Samuel 15:1-35,35,Jeremiah 41:1-18,18,2 Corinthians 2:1-4,6,Psalm 118:17-29,13,Proverbs 24:23-26,14
265,9/21/2016,77,1 Samuel 16:1-23,23,Jeremiah 42:1-22,22,2 Corinthians 2:5-3:18,31,,,Proverbs 24:27,1
266,9/22/2016,70,1 Samuel 17:1-19,19,Jeremiah 43:1-13,13,2 Corinthians 4:1-5:10,28,Psalm 119:1-8,8,Proverbs 24:28-29,2
267,9/23/2016,93,1 Samuel 17:20-58,39,Jeremiah 44:1-30,30,2 Corinthians 5:11-21,11,Psalm 119:9-16,8,Proverbs 24:30-34,5
268,9/24/2016,103,1 Samuel 18:1-30,30,Jeremiah 45:1-46:28,33,2 Corinthians 6:1-18,18,Psalm 119:17-24,8,Proverbs 25:1-14,14
269,9/25/2016,97,1 Samuel 19:1-24,24,Jeremiah 47:1-48:20,27,2 Corinthians 7:1-8:24,40,,,Proverbs 25:15-20,6
270,9/26/2016,95,1 Samuel 20:1-42,42,Jeremiah 48:21-47,27,2 Corinthians 9:1-15,15,Psalm 119:25-32,8,Proverbs 25:21-23,3
271,9/27/2016,89,1 Samuel 21:1-22:23,38,Jeremiah 49:1-22,22,2 Corinthians 10:1-18,18,Psalm 119:33-40,8,Proverbs 25:24-26,3
272,9/28/2016,85,1 Samuel 23:1-24:22,51,Jeremiah 49:23-39,17,2 Corinthians 11:1-15,15,,,Proverbs 25:27-28,2
273,9/29/2016,95,1 Samuel 25:1-44,44,Jeremiah 50:1-28,28,2 Corinthians 11:16-33,18,,,Proverbs 26:1-5,5
274,9/30/2016,80,1 Samuel 26:1-27:12,37,Jeremiah 50:29-46,18,2 Corinthians 12:1-10,10,Psalm 119:41-48,8,Proverbs 26:6-12,7
275,10/1/2016,92,1 Samuel 28:1-29:11,36,Jeremiah 51:1-33,33,2 Corinthians 12:11-21,11,Psalm 119:49-56,8,Proverbs 26:13-16,4
276,10/2/2016,94,1 Samuel 30:1-31:13,44,Jeremiah 51:34-64,31,2 Corinthians 13:1-4,4,Psalm 119:57-64,8,Proverbs 26:17-23,7
277,10/3/2016,91,2 Samuel 1:1-2:7,34,Jeremiah 52:1-34,34,2 Corinthians 13:5-14,10,Psalm 119:65-72,8,Proverbs 26:24-28,5
278,10/4/2016,65,2 Samuel 2:8-3:21,46,,,Galatians 1:1-10,10,Psalm 119:73-80,8,Proverbs 27:1,1
279,10/5/2016,75,2 Samuel 3:22-4:12,30,Lamentations 1:1-22,22,Galatians 1:11-24,14,Psalm 119:81-88,8,Proverbs 27:2,1
280,10/6/2016,89,2 Samuel 5:1-6:23,48,Lamentations 2:1-22,22,Galatians 2:1-10,10,Psalm 119:89-96,8,Proverbs 27:3,1
281,10/7/2016,84,2 Samuel 7:1-8:18,46,Lamentations 3:1-18,18,Galatians 2:11-21,11,Psalm 119:97-104,8,Proverbs 27:4-5,1
282,10/8/2016,93,2 Samuel 9:1-10:19,32,Lamentations 3:19-42,24,Galatians 3:1-29,29,Psalm 119:105-112,8,,
283,10/9/2016,93,2 Samuel 11:1-12:14,40,Lamentations 3:43-66,24,Galatians 4:1-20,20,Psalm 119:113-120,8,Proverbs 27:6,1
284,10/10/2016,79,2 Samuel 12:15-13:22,37,Lamentations 4:1-22,22,Galatians 4:21-31,11,Psalm 119:121-128,8,Proverbs 27:7,1
285,10/11/2016,87,2 Samuel 13:23-14:33,49,Lamentations 5:1-22,22,Galatians 5:1-15,15,,,Proverbs 27:8,1
286,10/12/2016,67,2 Samuel 15:1-37,37,,,Galatians 5:16-6:18,29,,,Proverbs 27:9,1
287,10/13/2016,75,2 Samuel 16:1-23,23,Obadiah 1:1-21,21,Ephesians 1:1-22,22,Psalm 119:129-136,8,Proverbs 27:10,1
288,10/14/2016,67,2 Samuel 17:1-18:33,56,,,Ephesians 2:1-10,10,,,Proverbs 27:11,1
289,10/15/2016,86,2 Samuel 19:1-43,43,Daniel 1:1-21,21,Ephesians 2:11-22,12,Psalm 119:137-144,8,Proverbs 27:12-13,2
290,10/16/2016,99,2 Samuel 20:1-21:22,48,Daniel 2:1-30,30,Ephesians 3:1-13,13,Psalm 119:145-152,8,,
291,10/17/2016,87,2 Samuel 22:1-51,51,Daniel 2:31-49,19,Ephesians 3:14-21,8,Psalm 119:153-160,8,Proverbs 27:14,1
292,10/18/2016,94,2 Samuel 23:1-38,38,Daniel 3:1-30,30,Ephesians 4:1-16,16,Psalm 119:161-168,8,Proverbs 27:15-16,2
293,10/19/2016,100,2 Samuel 24:1-25,25,Daniel 4:1-37,37,Ephesians 4:17-5:21,37,,,Proverbs 27:17,1
294,10/20/2016,96,1 Kings 1:1-53,53,Daniel 5:1-30,30,Ephesians 5:22-33,12,,,Proverbs 27:18,1
295,10/21/2016,93,1 Kings 2:1-46,46,Daniel 6:1-28,28,Ephesians 6:1-9,9,Psalm 119:169-176,8,Proverbs 27:19-20,2
296,10/22/2016,97,1 Kings 3:1-4:19,47,Daniel 7:1-28,28,Ephesians 6:10-24,15,Psalm 120:1-7,7,,
297,10/23/2016,91,1 Kings 4:20-5:18,33,Daniel 8:1-27,27,Philippians 1:1-30,30,,,Proverbs 27:21,1
298,10/24/2016,92,1 Kings 6:1-38,38,Daniel 9:1-27,27,Philippians 2:1-18,18,Psalm 121:1-8,8,Proverbs 27:22,1
299,10/25/2016,89,1 Kings 7:1-51,51,Daniel 10:1-21,21,Philippians 2:19-30,12,,,Proverbs 27:23-27,5
300,10/26/2016,99,1 Kings 8:1-21,21,Daniel 11:1-45,45,Philippians 3:1-4:1,22,Psalm 122:1-9,9,Proverbs 28:1-2,2
301,10/27/2016,82,1 Kings 8:22-66,45,Daniel 12:1-13,13,Philippians 4:2-23,22,,,Proverbs 28:3-4,2
302,10/28/2016,68,1 Kings 9:1-10:13,39,,,Colossians 1:1-23,23,Psalm 123:1-4,4,Proverbs 28:5-6,2
303,10/29/2016,82,1 Kings 10:14-29,14,Ezekiel 1:1-28,28,Colossians 1:23-2:23,30,Psalm 124:1-8,8,Proverbs 28:7-8,2
304,10/30/2016,87,1 Kings 11:1-43,43,Ezekiel 2:1-3:15,25,Colossians 3:1-17,17,,,Proverbs 28:9-10,2
305,10/31/2016,83,1 Kings 12:1-33,33,Ezekiel 3:16-4:17,29,Colossians 3:18-4:6,14,Psalm 125:1-5,5,Proverbs 28:11-12,2
306,11/1/2016,85,1 Kings 13:1-34,34,Ezekiel 5:1-6:14,31,Colossians 4:7-18,12,Psalm 126:1-6,6,Proverbs 28:13-14,2
307,11/2/2016,90,1 Kings 14:1-31,31,Ezekiel 7:1-27,27,1 Thessalonians 1:1-2:20,30,,,Proverbs 28:15-16,2
308,11/3/2016,95,1 Kings 15:1-34,34,Ezekiel 8:1-9:11,29,1 Thessalonians 3:1-4:17,30,,,Proverbs 28:17-18,2
309,11/4/2016,77,1 Kings 16:1-14,14,Ezekiel 10:1-22,22,1 Thessalonians 5:1-28,28,Psalm 127:1-5-128:6,11,Proverbs 28:19-20,2
310,11/5/2016,94,1 Kings 16:15-34,20,Ezekiel 11:1-25,25,2 Thessalonians 1:1-3:18,47,,,Proverbs 28:21-22,2
311,11/6/2016,89,1 Kings 17:1-24,24,Ezekiel 12:1-28,28,1 Timothy 1:1-2:15,35,,,Proverbs 28:23-24,2
312,11/7/2016,87,1 Kings 18:1-46,46,Ezekiel 13:1-23,23,1 Timothy 3:1-16,16,,,Proverbs 28:24-25,2
313,11/8/2016,83,1 Kings 19:1-20:12,33,Ezekiel 14:1-15:8,31,1 Timothy 4:1-16,16,,,Proverbs 28:26-28,3
314,11/9/2016,86,1 Kings 20:13-42,30,Ezekiel 16:1-29,29,1 Timothy 5:1-25,25,,,Proverbs 29:1-2,2
315,11/10/2016,94,1 Kings 21:1-29,29,Ezekiel 16:30-63,34,1 Timothy 6:1-21,21,Psalm 129:1-8,8,Proverbs 29:3-4,2
316,11/11/2016,93,1 Kings 22:1-53,53,Ezekiel 17:1-24,24,2 Timothy 1:1-14,14,,,Proverbs 29:5-6,2
317,11/12/2016,94,2 Kings 1:1-2:25,43,Ezekiel 18:1-32,32,2 Timothy 1:15-2:13,17,,,Proverbs 29:7-8,2
318,11/13/2016,81,2 Kings 3:1-27,27,Ezekiel 19:1-14,14,2 Timothy 2:14-3:17,30,Psalm 130:1-8,8,Proverbs 29:9-10,2
319,11/14/2016,94,2 Kings 4:1-44,44,Ezekiel 20:1-26,26,2 Timothy 4:1-22,22,,,Proverbs 29:11-12,2
320,11/15/2016,86,2 Kings 5:1-27,27,Ezekiel 20:27-49,23,Titus 1:1-2:15,31,Psalm 131:1-3,3,Proverbs 29:13-14,2
321,11/16/2016,100,2 Kings 6:1-33,33,Ezekiel 21:1-32,32,Titus 3:1-15,15,Psalm 132:1-18,18,Proverbs 29:15-16,2
322,11/17/2016,81,2 Kings 7:1-20,20,Ezekiel 22:1-31,31,Philemon 1:1-25,25,Psalm 133:1-3,3,Proverbs 29:17-18,2
323,11/18/2016,89,2 Kings 8:1-15,15,Ezekiel 23:1-21,21,Hebrews 1:1-3:19,51,,,Proverbs 29:19-20,2
324,11/19/2016,94,2 Kings 8:16-29,14,Ezekiel 23:22-49,28,Hebrews 4:1-6:20,50,,,Proverbs 29:21-22,2
325,11/20/2016,89,2 Kings 9:1-29,29,Ezekiel 24:1-27,27,Hebrews 7:1-28,28,Psalm 134:1-3,3,Proverbs 29:23-24,2
326,11/21/2016,80,2 Kings 9:30-10:17,25,Ezekiel 25:1-17,17,Hebrews 8:1-13,13,Psalm 135:1-21,21,Proverbs 29:24-27,4
327,11/22/2016,89,2 Kings 10:18-11:21,40,Ezekiel 26:1-21,21,Hebrews 9:1-28,28,,,,
328,11/23/2016,101,2 Kings 12:1-21,21,Ezekiel 27:1-36,36,Hebrews 10:1-39,39,,,Proverbs 30:1-4,5
329,11/24/2016,81,2 Kings 13:1-25,25,Ezekiel 28:1-26,26,Hebrews 11:1-22,22,Psalm 136:1-3,3,Proverbs 30:5-9,5
330,11/25/2016,77,2 Kings 14:1-29,29,Ezekiel 29:1-21,21,Hebrews 11:23-12:2,20,Psalm 136:4-9,6,Proverbs 30:10,1
331,11/26/2016,86,2 Kings 15:1-22,22,Ezekiel 30:1-26,26,Hebrews 12:3-29,27,Psalm 136:10-16,7,Proverbs 30:11-14,4
332,11/27/2016,67,2 Kings 15:23-38,16,Ezekiel 31:1-18,18,Hebrews 13:1-25,25,Psalm 136:17-22,6,Proverbs 30:15-16,2
333,11/28/2016,97,2 Kings 16:1-20,20,Ezekiel 32:1-32,32,James 1:1-2:13,40,Psalm 136:23-26,4,Proverbs 30:17,1
334,11/29/2016,89,2 Kings 17:1-41,41,Ezekiel 33:1-33,33,James 2:14-26,13,,,Proverbs 30:18-19,2
335,11/30/2016,98,2 Kings 18:1-37,37,Ezekiel 34:1-31,31,James 3:1-18,18,Psalm 137:1-9,9,Proverbs 30:21-23,3
336,12/1/2016,89,2 Kings 19:1-37,37,Ezekiel 35:1-36:15,30,James 4:1-17,17,,,Proverbs 30:24-28,5
337,12/2/2016,75,2 Kings 20:1-21,21,Ezekiel 36:16-38,23,James 5:1-20,20,Psalm 138:1-8,8,Proverbs 30:29-31,3
338,12/3/2016,84,2 Kings 21:1-26,26,Ezekiel 37:1-28,28,1 Peter 1:1-12,12,Psalm 139:1-16,16,Proverbs 30:32-33,2
339,12/4/2016,85,2 Kings 22:1-20,20,Ezekiel 38:1-23,23,1 Peter 1:13-2:12,25,Psalm 139:17-24,8,Proverbs 31:1-9,9
340,12/5/2016,99,2 Kings 23:1-35,35,Ezekiel 39:1-29,29,1 Peter 2:13-25,13,,,Proverbs 31:10-31,22
341,12/6/2016,90,2 Kings 23:36-24:20,22,Ezekiel 40:1-23,23,1 Peter 3:1-22,22,Psalm 140:1-13-141:10,23,,
342,12/7/2016,96,2 Kings 25:1-30,30,Ezekiel 40:24-49,26,1 Peter 4:1-5:14,33,Psalm 142:1-7,7,,
343,12/8/2016,93,Ezra 1:1-2:35,46,Ezekiel 41:1-26,26,2 Peter 1:1-21,21,,,,
344,12/9/2016,89,Ezra 2:36-70,35,Ezekiel 42:1-20,20,2 Peter 2:1-22,22,Psalm 143:1-12,12,,
345,12/10/2016,97,Ezra 3:1-4:24,37,Ezekiel 43:1-27,27,2 Peter 3:1-18,18,Psalm 144:1-15,15,,
346,12/11/2016,94,Ezra 5:1-6:22,39,Ezekiel 44:1-31,31,1 John 1:1-2:14,24,,,,
347,12/12/2016,99,Ezra 7:1-28,28,Ezekiel 45:1-25,25,1 John 2:15-3:10,25,Psalm 145:1-21,21,,
348,12/13/2016,90,Ezra 8:1-36,36,Ezekiel 46:1-24,24,1 John 3:11-4:6,20,Psalm 146:1-10,10,,
349,12/14/2016,79,Ezra 9:1-15,15,Ezekiel 47:1-23,23,1 John 4:7-21,21,Psalm 147:1-20,20,,
350,12/15/2016,100,Ezra 10:1-44,44,Ezekiel 48:1-35,35,1 John 5:1-21,21,,,,
351,12/16/2016,58,Nehemiah 1:1-2:20,31,,,2 John 1:1-13,13,Psalm 148:1-14,14,,
352,12/17/2016,71,Nehemiah 3:1-32,32,Haggai 1:1-15,15,3 John 1:1-15,15,Psalm 149:1-9,9,,
353,12/18/2016,90,Nehemiah 4:1-5:19,42,Haggai 2:1-23,23,Jude 1:1-25,25,,,,
354,12/19/2016,72,Nehemiah 6:1-7:4,23,,,Revelation 1:1-2:29,49,,,,
355,12/20/2016,99,Nehemiah 7:5-60,56,Zechariah 1:1-21,21,Revelation 3:1-22,22,,,,
356,12/21/2016,88,Nehemiah 7:61-8:18,24,Zechariah 2:1-3:10,23,Revelation 4:1-6:16,41,,,,
357,12/22/2016,93,Nehemiah 9:1-38,38,Zechariah 4:1-5:11,25,Revelation 7:1-8:13,30,,,,
358,12/23/2016,100,Nehemiah 10:1-39,39,Zechariah 6:1-7:14,29,Revelation 9:1-10:11,32,,,,
359,12/24/2016,95,Nehemiah 11:1-36,36,Zechariah 8:1-23,23,Revelation 11:1-12:17,36,,,,
360,12/25/2016,94,Nehemiah 12:1-47,47,Zechariah 9:1-10:12,29,Revelation 13:1-18,18,,,,
361,12/26/2016,90,Nehemiah 13:1-31,31,Zechariah 11:1-12:14,31,Revelation 14:1-15:8,28,,,,
362,12/27/2016,91,Esther 1:1-2:18,40,Zechariah 13:1-14:21,30,Revelation 16:1-21,21,,,,
363,12/28/2016,62,Esther 2:19-3:15,20,,,Revelation 17:1-18:24,42,,,,
364,12/29/2016,98,Esther 4:1-5:14,31,Malachi 1:1-2:17,31,Revelation 19:1-20:15,36,,,,
365,12/30/2016,91,Esther 6:1-8:17,40,Malachi 3:1-4:6,24,Revelation 21:1-27,27,,,,
366,12/31/2016,62,Esther 9:1-10:3,35,,,Revelation 22:1-21,21,Psalm 150:1-6,6,,
